시도별,경제활동별,항목,단위,1985 년,1986 년,1987 년,1988 년,1989 년,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,Unnamed: 43
울산광역시,정보통신업,명목,,,,,,,,,,,,,,,275181.0,348929.0,350629.0,485630.0,590831.0,690046.0,735066.0,839898.0,671222.0,660657.0,571054.0,605602.0,628999.0,586458.0,556235.0,573020.0,572602.0,566997.0,611855.0,611357.0,619907.0,647302.0,661150.0,703102.0,717727.0,706056.0,
울산광역시,정보통신업,실질,,,,,,,,,,,,,,,153255.0,195796.0,228056.0,312433.0,397125.0,466522.0,520134.0,554604.0,493971.0,493831.0,477495.0,489050.0,519342.0,507515.0,475913.0,508401.0,498564.0,500406.0,536063.0,541838.0,570123.0,633372.0,661150.0,717258.0,752235.0,738654.0,
울산광역시,정보통신업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.41,0.39,0.27,0.21,0.11,-0.2,0.0,-0.04,0.02,0.07,-0.02,-0.05,0.05,-0.01,0.0,0.05,0.01,0.04,0.09,0.04,0.08,0.04,-0.02,
울산광역시,금융 및 보험업,명목,,,,,,,,,,,,,,,465911.0,562838.0,540670.0,568578.0,781975.0,789209.0,772774.0,799538.0,863519.0,985845.0,1082246.0,1096315.0,1223223.0,1309910.0,1299783.0,1287282.0,1388917.0,1410929.0,1380485.0,1521726.0,1553476.0,1492216.0,1511491.0,1643924.0,1869994.0,1919975.0,
울산광역시,금융 및 보험업,실질,,,,,,,,,,,,,,,496369.0,603313.0,595171.0,581456.0,763573.0,739249.0,732807.0,759862.0,796974.0,913533.0,1019662.0,1066479.0,1100419.0,1122819.0,1196275.0,1269193.0,1375551.0,1419468.0,1383806.0,1463401.0,1467976.0,1445885.0,1511491.0,1566818.0,1643529.0,1684923.0,
울산광역시,금융 및 보험업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,-0.03,-0.04,0.53,-0.07,-0.02,0.06,0.09,0.27,0.22,0.09,0.06,0.04,0.12,0.11,0.14,0.06,-0.05,0.1,0.01,-0.03,0.09,0.08,0.1,0.06,
울산광역시,부동산업,명목,,,,,,,,,,,,,,,948468.0,833105.0,846806.0,914370.0,948535.0,1012733.0,1087903.0,1156765.0,1233511.0,1338033.0,1445894.0,1511913.0,1566045.0,1640625.0,1804586.0,1966570.0,2185959.0,2397658.0,2527198.0,2529092.0,2478424.0,2363640.0,2487298.0,2599351.0,2627319.0,2697670.0,
울산광역시,부동산업,실질,,,,,,,,,,,,,,,1346930.0,1298695.0,1228300.0,1267268.0,1277626.0,1314281.0,1378072.0,1456394.0,1538663.0,1596106.0,1693507.0,1714238.0,1754945.0,1819144.0,1911743.0,2009199.0,2177039.0,2305295.0,2383357.0,2383005.0,2402683.0,2425230.0,2487298.0,2441619.0,2414434.0,2514679.0,
울산광역시,부동산업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.16,0.09,0.02,0.07,0.13,0.14,0.14,0.1,0.16,0.03,0.07,0.09,0.12,0.13,0.22,0.18,0.11,0.0,0.03,0.03,0.08,-0.07,-0.04,0.13,
울산광역시,사업서비스업,명목,,,,,,,,,,,,,,,355094.0,294663.0,285494.0,311363.0,371456.0,474156.0,510262.0,503619.0,663018.0,648285.0,791672.0,824214.0,951268.0,1042396.0,1331116.0,1785340.0,2164505.0,2598480.0,2503275.0,2261884.0,2328899.0,2492785.0,2547488.0,2658611.0,2845150.0,3039830.0,
울산광역시,사업서비스업,실질,,,,,,,,,,,,,,,647655.0,602455.0,565581.0,607815.0,700433.0,818888.0,830428.0,817921.0,1040209.0,1003075.0,1121056.0,1110284.0,1209508.0,1317841.0,1627311.0,2173528.0,2603132.0,3008070.0,2868366.0,2514520.0,2503035.0,2590271.0,2547488.0,2551456.0,2605250.0,2674591.0,
울산광역시,사업서비스업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.06,0.07,0.14,0.17,0.02,-0.02,0.3,-0.05,0.15,-0.01,0.14,0.13,0.34,0.61,0.47,0.46,-0.16,-0.41,-0.01,0.11,-0.05,0.01,0.07,0.09,
울산광역시,"전문, 과학 및 기술 서비스업",명목,,,,,,,,,,,,,,,159039.0,134519.0,130881.0,141264.0,174019.0,226736.0,243511.0,231458.0,370239.0,344656.0,425840.0,453708.0,487844.0,459637.0,523630.0,729174.0,1010800.0,1317967.0,1159078.0,1050545.0,1067382.0,1131649.0,1196033.0,1333558.0,1476996.0,1606297.0,
울산광역시,"전문, 과학 및 기술 서비스업",실질,,,,,,,,,,,,,,,440618.0,374425.0,354353.0,374280.0,436385.0,473165.0,475237.0,474796.0,716428.0,638638.0,687719.0,677905.0,670679.0,612632.0,672364.0,931734.0,1284489.0,1610954.0,1391677.0,1197655.0,1171750.0,1176759.0,1196033.0,1246847.0,1308058.0,1361120.0,
울산광역시,"전문, 과학 및 기술 서비스업",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.02,0.02,0.07,0.04,0.0,0.0,0.26,-0.08,0.05,-0.01,-0.01,-0.07,0.06,0.28,0.37,0.35,-0.24,-0.21,-0.03,0.01,0.02,0.07,0.08,0.07,
울산광역시,"사업시설 관리, 사업 지원 및 임대 서비스업",명목,,,,,,,,,,,,,,,196055.0,160144.0,154613.0,170099.0,197437.0,247420.0,266751.0,272161.0,292779.0,303629.0,365832.0,370506.0,463424.0,582759.0,807486.0,1056166.0,1153705.0,1280513.0,1344197.0,1211339.0,1261517.0,1361136.0,1351455.0,1325053.0,1368154.0,1433533.0,
울산광역시,"사업시설 관리, 사업 지원 및 임대 서비스업",실질,,,,,,,,,,,,,,,243975.0,242867.0,226452.0,246897.0,281740.0,350452.0,358510.0,348485.0,372912.0,393969.0,458538.0,456620.0,553358.0,705513.0,947608.0,1234891.0,1324701.0,1416330.0,1481274.0,1319047.0,1332541.0,1413458.0,1351455.0,1304609.0,1295339.0,1310309.0,
울산광역시,"사업시설 관리, 사업 지원 및 임대 서비스업",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.04,0.07,0.13,0.02,-0.02,0.04,0.03,0.1,0.0,0.15,0.2,0.28,0.33,0.1,0.11,0.08,-0.19,0.02,0.1,-0.08,-0.07,-0.01,0.02,
울산광역시,"공공 행정, 국방 및 사회보장 행정",명목,,,,,,,,,,,,,,,318254.0,339828.0,368011.0,413489.0,465803.0,527302.0,586360.0,654405.0,699973.0,740721.0,810133.0,877164.0,915163.0,956397.0,1054080.0,1126488.0,1207967.0,1342794.0,1416352.0,1539363.0,1631633.0,1838579.0,1953778.0,2120724.0,2343173.0,2432301.0,
울산광역시,"공공 행정, 국방 및 사회보장 행정",실질,,,,,,,,,,,,,,,682791.0,719235.0,747266.0,786328.0,818723.0,876580.0,920603.0,990810.0,1031884.0,1055683.0,1082973.0,1147074.0,1172793.0,1198370.0,1282610.0,1333707.0,1393528.0,1516387.0,1579275.0,1667626.0,1696886.0,1875950.0,1953778.0,2065249.0,2169154.0,2213433.0,
울산광역시,"공공 행정, 국방 및 사회보장 행정",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.06,0.05,0.09,0.07,0.1,0.06,0.03,0.04,0.09,0.04,0.03,0.09,0.06,0.07,0.15,0.07,0.1,0.03,0.23,0.1,0.16,0.13,0.06,
울산광역시,교육 서비스업,명목,,,,,,,,,,,,,,,513353.0,532451.0,580213.0,687121.0,844187.0,964421.0,1057833.0,1132740.0,1339339.0,1403865.0,1522473.0,1576631.0,1577034.0,1648527.0,1782004.0,1860935.0,1926528.0,2041409.0,2034633.0,2039966.0,2078719.0,2139459.0,2059321.0,2171292.0,2271436.0,2337235.0,
울산광역시,교육 서비스업,실질,,,,,,,,,,,,,,,1097495.0,1098495.0,1130011.0,1246566.0,1434055.0,1528644.0,1581110.0,1607059.0,1829663.0,1834712.0,1826586.0,1899748.0,1878956.0,1940291.0,2081043.0,2160533.0,2158271.0,2224915.0,2190310.0,2158410.0,2167735.0,2164206.0,2059321.0,2148448.0,2213183.0,2245517.0,
울산광역시,교육 서비스업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.31,0.15,0.09,0.04,0.34,0.01,-0.01,0.11,-0.03,0.08,0.17,0.09,0.0,0.08,-0.04,-0.04,0.01,0.0,-0.14,0.13,0.08,0.04,
울산광역시,보건업 및 사회복지 서비스업,명목,,,,,,,,,,,,,,,218859.0,247302.0,275730.0,390548.0,476453.0,551267.0,599898.0,665553.0,738375.0,807830.0,871192.0,972205.0,1038680.0,1048572.0,1134216.0,1246313.0,1348976.0,1462599.0,1562565.0,1664427.0,1764929.0,1961667.0,2057737.0,2178242.0,2338441.0,2538101.0,
울산광역시,보건업 및 사회복지 서비스업,실질,,,,,,,,,,,,,,,506369.0,549649.0,558697.0,587810.0,702432.0,780034.0,816991.0,868070.0,923885.0,968802.0,1000580.0,1063694.0,1125962.0,1151766.0,1241221.0,1368255.0,1470839.0,1553643.0,1637441.0,1708138.0,1805463.0,2003982.0,2057737.0,2140787.0,2255814.0,2404402.0,
울산광역시,보건업 및 사회복지 서비스업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.05,0.23,0.14,0.07,0.08,0.09,0.08,0.05,0.1,0.11,0.04,0.11,0.16,0.13,0.1,0.1,0.09,0.12,0.26,0.07,0.12,0.15,0.18,
울산광역시,문화 및 기타서비스업,명목,,,,,,,,,,,,,,,288619.0,301999.0,330429.0,379125.0,446354.0,479479.0,507331.0,526405.0,562011.0,603353.0,654712.0,689202.0,726011.0,752958.0,807680.0,923964.0,938646.0,984980.0,1052877.0,1019320.0,1080601.0,1140997.0,1117073.0,1119045.0,1157495.0,1236862.0,
울산광역시,문화 및 기타서비스업,실질,,,,,,,,,,,,,,,671371.0,696961.0,755264.0,814150.0,931345.0,953517.0,923480.0,954179.0,1004596.0,1047328.0,1060984.0,1093895.0,1103715.0,1110355.0,1144991.0,1275974.0,1251875.0,1255897.0,1263538.0,1159528.0,1157892.0,1182857.0,1117073.0,1101824.0,1105988.0,1146362.0,
울산광역시,문화 및 기타서비스업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.08,0.16,0.03,-0.04,0.04,0.06,0.05,0.02,0.04,0.01,0.01,0.03,0.13,-0.02,0.0,0.01,-0.11,0.0,0.03,-0.08,-0.02,0.01,0.05,
울산광역시,"수도, 하수 및 폐기물 처리, 원료 재생업",명목,,,,,,,,,,,,,,,105483.0,98736.0,104087.0,112196.0,133851.0,155215.0,178094.0,171837.0,177493.0,174399.0,193984.0,196976.0,208802.0,216555.0,234241.0,315115.0,292844.0,327928.0,356413.0,319791.0,357074.0,364416.0,396253.0,387413.0,389404.0,398901.0,
울산광역시,"수도, 하수 및 폐기물 처리, 원료 재생업",실질,,,,,,,,,,,,,,,281464.0,262047.0,262702.0,276127.0,321544.0,359421.0,370121.0,352383.0,380480.0,364692.0,370466.0,388691.0,367807.0,382461.0,402129.0,528377.0,480143.0,502625.0,482910.0,384759.0,394682.0,384914.0,396253.0,386265.0,376824.0,394922.0,
울산광역시,"수도, 하수 및 폐기물 처리, 원료 재생업",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.02,0.05,0.04,0.01,-0.02,0.03,-0.02,0.01,0.02,-0.02,0.01,0.02,0.1,-0.04,0.02,-0.02,-0.1,0.01,-0.01,0.01,-0.01,-0.01,0.02,
울산광역시,"예술, 스포츠 및 여가관련 서비스",명목,,,,,,,,,,,,,,,38113.0,53157.0,68225.0,85480.0,119604.0,104802.0,111387.0,117838.0,131483.0,146501.0,156949.0,163234.0,173193.0,180713.0,194310.0,216304.0,227817.0,237837.0,252972.0,255946.0,274314.0,307390.0,286149.0,318205.0,315384.0,353726.0,
울산광역시,"예술, 스포츠 및 여가관련 서비스",실질,,,,,,,,,,,,,,,75907.0,108934.0,151345.0,178076.0,240670.0,200960.0,192165.0,200325.0,221206.0,240727.0,248928.0,252652.0,261987.0,249614.0,251428.0,265452.0,264478.0,259843.0,270788.0,267268.0,279852.0,310353.0,286149.0,313247.0,303246.0,328381.0,
울산광역시,"예술, 스포츠 및 여가관련 서비스",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.04,0.09,-0.05,-0.01,0.01,0.03,0.02,0.01,0.0,0.01,-0.01,0.0,0.01,0.0,-0.01,0.01,0.0,0.02,0.04,-0.03,0.04,-0.01,0.03,
울산광역시,"협회 및 단체, 수리 및 기타 개인 서비스업",명목,,,,,,,,,,,,,,,145023.0,150106.0,158117.0,181449.0,192899.0,219462.0,217850.0,236730.0,253035.0,282453.0,303779.0,328992.0,344016.0,355690.0,379129.0,392545.0,417985.0,419215.0,443492.0,443583.0,449213.0,469191.0,434671.0,413427.0,452707.0,484235.0,
울산광역시,"협회 및 단체, 수리 및 기타 개인 서비스업",실질,,,,,,,,,,,,,,,330333.0,334194.0,343812.0,362064.0,374184.0,402491.0,374728.0,410283.0,413455.0,445592.0,445773.0,458126.0,473080.0,478895.0,493756.0,504198.0,519751.0,511415.0,522197.0,509314.0,484357.0,486771.0,434671.0,402312.0,425528.0,423094.0,
울산광역시,"협회 및 단체, 수리 및 기타 개인 서비스업",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.02,0.04,-0.04,0.05,0.0,0.04,0.0,0.02,0.02,0.01,0.02,0.01,0.02,-0.01,0.01,-0.01,-0.03,0.0,-0.07,-0.05,0.03,0.0,
세종특별자치시,지역내총생산(시장가격),명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7040434.0,8919847.0,9958014.0,10962552.0,11938796.0,12433506.0,13373529.0,14005902.0,15455438.0,16055841.0,16719226.0,
세종특별자치시,지역내총생산(시장가격),실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7955667.0,10002318.0,10832018.0,11728167.0,12431370.0,12796748.0,13684126.0,14005902.0,15040763.0,15374819.0,15567924.0,
세종특별자치시,지역내총생산(시장가격),실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.73,8.3,8.27,6.0,2.94,6.93,2.35,7.39,2.22,1.26,
세종특별자치시,순생산물세,명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432703.0,607710.0,762029.0,794785.0,931938.0,916941.0,921082.0,953569.0,1061614.0,1056615.0,963265.0,
세종특별자치시,순생산물세,실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462953.0,646841.0,788261.0,895347.0,905001.0,906058.0,938727.0,953569.0,1041736.0,951280.0,910678.0,
세종특별자치시,순생산물세,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,1.49,1.04,0.08,0.01,0.27,0.11,0.63,-0.6,-0.28,
세종특별자치시,총부가가치(기초가격),명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6607731.0,8312137.0,9195985.0,10167767.0,11006858.0,11516565.0,12452447.0,13052333.0,14393824.0,14999226.0,15755961.0,
세종특별자치시,총부가가치(기초가격),실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500680.0,9361543.0,10045226.0,10832066.0,11523178.0,11889398.0,12745369.0,13052333.0,13999027.0,14422531.0,14659800.0,
세종특별자치시,총부가가치(기초가격),실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.28,6.81,7.23,5.92,2.93,6.67,2.24,6.76,2.82,1.54,
세종특별자치시,"농업, 임업 및 어업",명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175420.0,200014.0,188521.0,239777.0,301968.0,152967.0,150337.0,142190.0,172043.0,146441.0,129016.0,
세종특별자치시,"농업, 임업 및 어업",실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170543.0,193578.0,182691.0,229163.0,284425.0,161025.0,171459.0,142190.0,149163.0,143894.0,132606.0,
세종특별자치시,"농업, 임업 및 어업",실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-0.13,0.48,0.53,-1.1,0.08,-0.19,0.05,-0.04,-0.07,
세종특별자치시,광제조업,명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2293993.0,2394850.0,2474070.0,2417220.0,2474524.0,2503267.0,2609944.0,2967208.0,3194214.0,3374497.0,3334708.0,
세종특별자치시,광제조업,실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2377102.0,2488246.0,2480530.0,2378930.0,2413745.0,2446639.0,2623461.0,2967208.0,3193766.0,3371354.0,3289246.0,
세종특별자치시,광제조업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,-0.08,-1.02,0.32,0.28,1.46,2.56,1.62,1.15,-0.51,
세종특별자치시,광업,명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27813.0,23379.0,25989.0,28406.0,21516.0,17138.0,15294.0,17556.0,17247.0,20361.0,28642.0,
세종특별자치시,광업,실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31562.0,26871.0,26118.0,27480.0,19781.0,16069.0,14409.0,17556.0,18246.0,19605.0,22123.0,
세종특별자치시,광업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.01,0.01,-0.07,-0.03,-0.01,0.02,0.0,0.01,0.02,
세종특별자치시,제조업,명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266180.0,2371471.0,2448081.0,2388814.0,2453008.0,2486129.0,2594650.0,2949652.0,3176967.0,3354136.0,3306066.0,
세종특별자치시,제조업,실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345696.0,2460998.0,2453970.0,2351033.0,2393681.0,2430527.0,2609127.0,2949652.0,3175520.0,3351768.0,3267028.0,
세종특별자치시,제조업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,-0.08,-1.03,0.4,0.32,1.47,2.53,1.61,1.14,-0.53,
세종특별자치시,음식료품 및 담배제조업,명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177353.0,194801.0,222457.0,224032.0,227609.0,209113.0,228694.0,254799.0,246588.0,264548.0,327246.0,
세종특별자치시,음식료품 및 담배제조업,실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208226.0,215241.0,238199.0,230866.0,234642.0,210674.0,232278.0,254799.0,255154.0,282224.0,290974.0,
세종특별자치시,음식료품 및 담배제조업,실질기여도,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.23,-0.07,0.03,-0.19,0.17,0.17,0.0,0.17,0.05,
세종특별자치시,섬유 의복 및 가죽 제품 제조업,명목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25408.0,38852.0,17420.0,18135.0,15748.0,13757.0,42214.0,31311.0,28468.0,28241.0,40424.0,
세종특별자치시,섬유 의복 및 가죽 제품 제조업,실질,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25636.0,39541.0,17018.0,17024.0,15861.0,13541.0,41405.0,31311.0,28775.0,27594.0,30884.0,
